,distance_km,weight_kg,hub_hours,transit_hours,delivery_hours,cost_inr
distance_km,1.0,0.017251977799054234,0.1532596878809232,0.8744969057093727,0.6922102219692876,0.9828845725949058
weight_kg,0.017251977799054234,1.0,0.0008305834274001496,0.011324410481310849,0.00405255990432262,0.11712222235119604
hub_hours,0.1532596878809232,0.0008305834274001496,1.0,0.12834031187304618,0.7132786738778076,0.188689918262846
transit_hours,0.8744969057093727,0.011324410481310849,0.12834031187304618,1.0,0.7670879161599088,0.8594471885365723
delivery_hours,0.6922102219692876,0.00405255990432262,0.7132786738778076,0.7670879161599088,1.0,0.7050830175443169
cost_inr,0.9828845725949058,0.11712222235119604,0.188689918262846,0.8594471885365723,0.7050830175443169,1.0
