,distance_km,weight_kg,hub_hours,transit_hours,delivery_hours,cost_inr
distance_km,1.0,0.007410575071483141,0.14515211174926776,0.8275046154998739,0.6632300086329818,0.9824422752203079
weight_kg,0.007410575071483141,1.0,-0.01046068713997038,-0.0064691734737735065,-0.01123171280916014,0.12405143762624646
hub_hours,0.14515211174926776,-0.01046068713997038,1.0,0.11952549070127869,0.7305877014752875,0.18581734614610868
transit_hours,0.8275046154998739,-0.0064691734737735065,0.11952549070127869,1.0,0.7652476862017856,0.8097221573905362
delivery_hours,0.6632300086329818,-0.01123171280916014,0.7305877014752875,0.7652476862017856,1.0,0.6773668291304584
cost_inr,0.9824422752203079,0.12405143762624646,0.18581734614610868,0.8097221573905362,0.6773668291304584,1.0
