model,cv_MAE,cv_MAE_sd,cv_RMSE
Ridge alpha 0.1,11.379783312798965,1.200017674614709,14.79093709689419
Ridge alpha 1,11.487316049310873,1.0170942127616267,15.032825360072021
Ridge alpha 10,13.28085931064959,1.1189363254666054,16.886169502596708
Forest depth None leaf 3,14.454890603196397,2.9065297440882083,18.74380083977389
Forest depth 6 leaf 3,14.458357688990635,2.925562529344346,18.792837777581017
Forest depth None leaf 8,15.226589373255482,2.654095011694069,19.690009789827645
Forest depth 6 leaf 8,15.232854775031823,2.7091669552002418,19.69604767419244
Seasonal naive,27.32142857142857,4.134367327328199,34.70063866375786
